Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(484, 395, 5.024286338084494e-07)","(422, 366, -0.03742021322250366)","(381, 306, -0.05390240624547005)","(359, 256, -0.06845388561487198)","(330, 222, -0.08274315297603607)","(442, 220, -0.017460139468312263)","(431, 156, -0.04071790724992752)","(427, 116, -0.06449167430400848)","(425, 82, -0.0841001495718956)","(482, 216, -0.024737969040870667)","(487, 143, -0.04412626847624779)","(493, 98, -0.06516984105110168)","(499, 63, -0.0816013514995575)","(518, 229, -0.039169296622276306)","(528, 157, -0.06506248563528061)","(533, 115, -0.08355102688074112)","(537, 76, -0.09738460928201675)","(552, 253, -0.057705435901880264)","(573, 203, -0.08409609645605087)","(586, 168, -0.09611649811267853)","(595, 134, -0.10458561778068542)",0.6483337879180908
"(487, 395, 5.892224521630851e-07)","(423, 364, -0.038278061896562576)","(383, 306, -0.0563184879720211)","(363, 256, -0.07222835719585419)","(338, 220, -0.08747155964374542)","(445, 219, -0.019722839817404747)","(436, 153, -0.04249851033091545)","(433, 113, -0.06539207696914673)","(432, 78, -0.0847112163901329)","(487, 216, -0.026287628337740898)","(494, 141, -0.04303525388240814)","(501, 98, -0.061265308409929276)","(509, 61, -0.07727072387933731)","(523, 228, -0.04010818153619766)","(534, 157, -0.06281952559947968)","(540, 115, -0.07858577370643616)","(544, 77, -0.09229832887649536)","(557, 252, -0.0583609938621521)","(579, 202, -0.08166623115539551)","(592, 169, -0.09164632856845856)","(603, 136, -0.10003290325403214)",0.8194007873535156
"(487, 397, 5.648576006933581e-07)","(426, 365, -0.03413862735033035)","(385, 306, -0.049619708210229874)","(364, 255, -0.06350648403167725)","(341, 218, -0.07716430723667145)","(448, 220, -0.01856241188943386)","(438, 154, -0.04030561074614525)","(434, 113, -0.06201491132378578)","(433, 76, -0.08059098571538925)","(489, 217, -0.02671009488403797)","(498, 142, -0.042937640100717545)","(506, 97, -0.06030785292387009)","(513, 61, -0.07566676288843155)","(525, 229, -0.041583914309740067)","(536, 157, -0.06390774250030518)","(542, 115, -0.07949800789356232)","(547, 78, -0.09305591136217117)","(558, 254, -0.06043657287955284)","(581, 202, -0.08331510424613953)","(595, 169, -0.09311845153570175)","(607, 136, -0.10146582126617432)",0.9420075416564941
"(487, 398, 5.462829335556307e-07)","(426, 366, -0.033468350768089294)","(384, 307, -0.0493798591196537)","(363, 257, -0.063928984105587)","(339, 222, -0.0785646066069603)","(447, 221, -0.018766459077596664)","(437, 155, -0.041061680763959885)","(433, 114, -0.06299623847007751)","(431, 78, -0.0815536379814148)","(489, 218, -0.02761482447385788)","(498, 143, -0.044797398149967194)","(506, 99, -0.06315457820892334)","(513, 62, -0.07891331613063812)","(525, 230, -0.04300427436828613)","(536, 158, -0.06591122597455978)","(542, 116, -0.08252517879009247)","(546, 77, -0.09656623005867004)","(558, 255, -0.06225134804844856)","(580, 203, -0.08553369343280792)","(595, 169, -0.09581346809864044)","(607, 136, -0.10430877655744553)",1.0652990341186523
"(487, 399, 5.262349986878689e-07)","(426, 368, -0.03247305750846863)","(385, 307, -0.04659296199679375)","(364, 256, -0.05927325040102005)","(340, 220, -0.07194741070270538)","(447, 221, -0.016840266063809395)","(438, 154, -0.037527114152908325)","(433, 114, -0.058484677225351334)","(431, 78, -0.07657105475664139)","(489, 217, -0.02554452419281006)","(498, 142, -0.041034210473299026)","(505, 99, -0.05831184983253479)","(512, 63, -0.07350870221853256)","(524, 230, -0.04073353484272957)","(536, 158, -0.062426358461380005)","(541, 116, -0.07859534025192261)","(546, 78, -0.0925680622458458)","(557, 255, -0.05971793085336685)","(579, 203, -0.08247503638267517)","(594, 170, -0.09280245006084442)","(606, 136, -0.10146144032478333)",1.1875100135803223
"(484, 399, 5.276483534544241e-07)","(423, 367, -0.03243719041347504)","(384, 307, -0.04688394069671631)","(365, 256, -0.06014232337474823)","(342, 220, -0.07349509745836258)","(447, 221, -0.0164435226470232)","(438, 154, -0.03795500099658966)","(434, 114, -0.059541940689086914)","(432, 77, -0.07790893316268921)","(489, 218, -0.02556687593460083)","(499, 143, -0.04163721948862076)","(507, 99, -0.05965421721339226)","(514, 62, -0.07536400109529495)","(525, 231, -0.04121820628643036)","(537, 159, -0.06320957094430923)","(543, 117, -0.07931053638458252)","(548, 78, -0.09314119815826416)","(557, 255, -0.060732629150152206)","(580, 204, -0.08322267979383469)","(595, 170, -0.09299524128437042)","(607, 136, -0.10122735053300858)",1.3173308372497559
"(484, 398, 5.184591600482236e-07)","(424, 366, -0.03318994119763374)","(385, 306, -0.0483362041413784)","(365, 256, -0.061998166143894196)","(341, 221, -0.07585171610116959)","(447, 221, -0.018600771203637123)","(437, 155, -0.04041169956326485)","(433, 114, -0.061868879944086075)","(432, 78, -0.08014232665300369)","(489, 218, -0.027051186189055443)","(499, 143, -0.04371948912739754)","(507, 100, -0.06194267049431801)","(515, 63, -0.07786004990339279)","(524, 231, -0.041938114911317825)","(536, 159, -0.06437945365905762)","(542, 117, -0.08160314708948135)","(547, 78, -0.09632812440395355)","(557, 255, -0.06062251701951027)","(580, 204, -0.08373723179101944)","(595, 170, -0.09483543038368225)","(607, 137, -0.10414423793554306)",1.421576976776123
"(484, 398, 5.322405058905133e-07)","(425, 367, -0.03364138677716255)","(385, 306, -0.04994997754693031)","(365, 256, -0.06461857259273529)","(340, 222, -0.07955894619226456)","(447, 221, -0.021241428330540657)","(437, 154, -0.044052381068468094)","(433, 114, -0.06610178202390671)","(431, 78, -0.08480673283338547)","(489, 218, -0.030105460435152054)","(499, 143, -0.0476788654923439)","(507, 99, -0.06650930643081665)","(514, 62, -0.08276067674160004)","(525, 231, -0.045227885246276855)","(537, 159, -0.06828265637159348)","(543, 116, -0.08553087711334229)","(547, 77, -0.10027280449867249)","(557, 256, -0.06410650908946991)","(580, 205, -0.08750305324792862)","(595, 171, -0.09831344336271286)","(607, 137, -0.10739178210496902)",1.542281150817871
"(487, 398, 5.231341901890119e-07)","(427, 367, -0.03419644385576248)","(385, 307, -0.05026216432452202)","(365, 256, -0.06463482975959778)","(341, 220, -0.0793294683098793)","(448, 222, -0.021832557395100594)","(438, 155, -0.04494113847613335)","(433, 114, -0.06706936657428741)","(432, 77, -0.0858306810259819)","(490, 219, -0.030384216457605362)","(499, 143, -0.04868756979703903)","(507, 99, -0.06795327365398407)","(514, 62, -0.08459160476922989)","(525, 231, -0.04529716446995735)","(537, 160, -0.06911157816648483)","(543, 116, -0.08708754181861877)","(548, 77, -0.10231111198663712)","(558, 255, -0.06398832052946091)","(581, 204, -0.0879904106259346)","(596, 170, -0.09944906830787659)","(608, 136, -0.10909958928823471)",1.6711485385894775
"(488, 397, 5.369158770918148e-07)","(428, 365, -0.034043293446302414)","(388, 305, -0.050046928226947784)","(368, 255, -0.06430940330028534)","(344, 218, -0.07835780829191208)","(451, 220, -0.01964104175567627)","(441, 153, -0.04168574884533882)","(437, 113, -0.06362760066986084)","(436, 77, -0.08223992586135864)","(492, 216, -0.02766638807952404)","(502, 142, -0.0438067801296711)","(509, 98, -0.06151681765913963)","(516, 62, -0.07718493044376373)","(528, 229, -0.04216181859374046)","(540, 158, -0.06384196877479553)","(546, 116, -0.07947511225938797)","(550, 78, -0.09328262507915497)","(560, 254, -0.060617003589868546)","(583, 203, -0.08308474719524384)","(598, 170, -0.09285186976194382)","(610, 137, -0.10116220265626907)",1.7782971858978271
