Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(537, 494, 7.260297252287273e-07)","(475, 459, -0.04321327805519104)","(428, 408, -0.07364100962877274)","(396, 364, -0.09788640588521957)","(365, 332, -0.12307500839233398)","(499, 337, -0.06647303700447083)","(489, 263, -0.0982845351099968)","(483, 218, -0.1214248314499855)","(480, 181, -0.13819631934165955)","(546, 337, -0.06813521683216095)","(551, 255, -0.09473592787981033)","(554, 205, -0.11612235754728317)","(559, 164, -0.13287082314491272)","(584, 353, -0.0728023573756218)","(599, 278, -0.09998395293951035)","(607, 230, -0.12064670026302338)","(612, 191, -0.13674518465995789)","(617, 380, -0.07980076968669891)","(638, 331, -0.10574053972959518)","(649, 299, -0.11634186655282974)","(656, 270, -0.12339900434017181)",3.2990829944610596
"(506, 442, 7.373066068794287e-07)","(450, 396, -0.03026686981320381)","(408, 338, -0.04252377897500992)","(387, 290, -0.05393153429031372)","(363, 259, -0.06491738557815552)","(470, 260, -0.0015862995060160756)","(460, 201, -0.022689253091812134)","(455, 160, -0.04846714437007904)","(452, 124, -0.06901286542415619)","(509, 256, -0.008049816824495792)","(511, 190, -0.023022430017590523)","(513, 145, -0.045158252120018005)","(514, 105, -0.0626937747001648)","(544, 266, -0.021271895617246628)","(552, 207, -0.03886846452951431)","(557, 164, -0.05559395253658295)","(560, 124, -0.06877044588327408)","(576, 291, -0.038603633642196655)","(594, 245, -0.05520753934979439)","(603, 213, -0.06151658296585083)","(610, 180, -0.0658799335360527)",3.395995616912842
"(498, 418, 3.6728846453115693e-07)","(448, 389, -0.03275999426841736)","(406, 329, -0.04496948421001434)","(383, 282, -0.05495135858654976)","(357, 254, -0.06512459367513657)","(464, 254, -0.02103026583790779)","(453, 192, -0.042449891567230225)","(446, 154, -0.06258181482553482)","(443, 122, -0.07902513444423676)","(500, 252, -0.025223493576049805)","(502, 181, -0.041313618421554565)","(503, 140, -0.056965477764606476)","(503, 107, -0.07052629441022873)","(534, 264, -0.0354926660656929)","(543, 196, -0.05503417178988457)","(544, 157, -0.06973358988761902)","(543, 122, -0.08215000480413437)","(566, 286, -0.04968367516994476)","(583, 239, -0.06957496702671051)","(591, 207, -0.07992446422576904)","(595, 176, -0.08847764879465103)",3.4794867038726807
"(487, 415, 3.0946662832320726e-07)","(433, 388, -0.03016776032745838)","(393, 331, -0.038287147879600525)","(376, 283, -0.04477029666304588)","(354, 253, -0.05084855481982231)","(447, 255, -0.00820625014603138)","(435, 196, -0.025675298646092415)","(430, 161, -0.043709646910429)","(426, 130, -0.05895807594060898)","(484, 252, -0.013091758824884892)","(485, 184, -0.026934994384646416)","(485, 145, -0.042912907898426056)","(483, 114, -0.05604561045765877)","(516, 262, -0.024344099685549736)","(521, 199, -0.043129660189151764)","(521, 161, -0.05761080980300903)","(520, 127, -0.06930544972419739)","(547, 284, -0.03935955837368965)","(562, 240, -0.05903742089867592)","(568, 211, -0.0687456727027893)","(573, 182, -0.07636413723230362)",3.5632855892181396
"(484, 417, 3.2377627690038935e-07)","(431, 389, -0.02642718330025673)","(392, 330, -0.033521492034196854)","(373, 283, -0.0395829901099205)","(348, 256, -0.04575967788696289)","(447, 257, -0.0069083767011761665)","(436, 198, -0.02292509377002716)","(430, 163, -0.040626343339681625)","(426, 132, -0.056065529584884644)","(482, 254, -0.013655144721269608)","(485, 187, -0.025555558502674103)","(485, 148, -0.04085705429315567)","(484, 117, -0.054087791591882706)","(514, 264, -0.02621648833155632)","(520, 201, -0.042453475296497345)","(520, 164, -0.0559629425406456)","(518, 131, -0.06776855885982513)","(545, 285, -0.042295753955841064)","(559, 240, -0.05979083105921745)","(565, 211, -0.06854640692472458)","(569, 181, -0.07599139213562012)",3.6450932025909424
"(481, 416, 3.1843268288866966e-07)","(429, 389, -0.02701808325946331)","(389, 331, -0.03431571647524834)","(370, 283, -0.04055485129356384)","(345, 256, -0.046786390244960785)","(443, 257, -0.006592378485947847)","(431, 199, -0.022698720917105675)","(424, 164, -0.04045907407999039)","(420, 134, -0.05573538318276405)","(478, 254, -0.01269914023578167)","(479, 188, -0.024586033076047897)","(479, 149, -0.03971963748335838)","(479, 118, -0.05276935175061226)","(509, 264, -0.02479354478418827)","(514, 203, -0.04097165912389755)","(514, 166, -0.054929547011852264)","(512, 133, -0.0668456107378006)","(540, 285, -0.04048313573002815)","(553, 240, -0.05769263207912445)","(559, 210, -0.06670789420604706)","(564, 181, -0.07429805397987366)",3.7147765159606934
"(483, 414, 3.606042184856051e-07)","(430, 387, -0.029040120542049408)","(389, 329, -0.03682217001914978)","(370, 282, -0.043303366750478745)","(344, 255, -0.04954609274864197)","(444, 254, -0.00598219595849514)","(431, 197, -0.02143852412700653)","(425, 163, -0.03902203589677811)","(420, 132, -0.05443418025970459)","(479, 251, -0.011230895295739174)","(480, 186, -0.022341514006257057)","(479, 147, -0.03753840550780296)","(478, 116, -0.05077072232961655)","(511, 261, -0.022717557847499847)","(513, 200, -0.03893669694662094)","(511, 164, -0.053095877170562744)","(507, 131, -0.06511964648962021)","(542, 281, -0.03803938627243042)","(555, 237, -0.055108994245529175)","(561, 208, -0.06417477875947952)","(566, 179, -0.07184674590826035)",3.7913033962249756
"(486, 413, 3.614294712406263e-07)","(433, 386, -0.02848658710718155)","(392, 329, -0.03568009287118912)","(372, 282, -0.041727419942617416)","(346, 255, -0.047431062906980515)","(446, 253, -0.0038229457568377256)","(434, 196, -0.01886248029768467)","(427, 162, -0.0364382266998291)","(422, 131, -0.051793478429317474)","(481, 249, -0.009119676426053047)","(481, 184, -0.019013920798897743)","(480, 145, -0.03312433511018753)","(478, 114, -0.045502930879592896)","(513, 259, -0.02078583650290966)","(516, 198, -0.03553067520260811)","(513, 162, -0.047737810760736465)","(509, 130, -0.058388493955135345)","(544, 280, -0.036474909633398056)","(558, 236, -0.05181099474430084)","(563, 207, -0.059142645448446274)","(568, 179, -0.06554505228996277)",3.867847204208374
"(489, 414, 3.456085266861919e-07)","(435, 388, -0.029288049787282944)","(393, 331, -0.03720041736960411)","(373, 284, -0.04364721477031708)","(348, 256, -0.04957706853747368)","(446, 255, -0.006621627602726221)","(434, 197, -0.02239556424319744)","(427, 162, -0.03993105888366699)","(423, 132, -0.055087678134441376)","(481, 251, -0.011468298733234406)","(482, 186, -0.022241098806262016)","(481, 147, -0.036142561584711075)","(479, 116, -0.04818051680922508)","(513, 261, -0.022597096860408783)","(516, 199, -0.03785432130098343)","(515, 163, -0.04942619055509567)","(512, 131, -0.05943349003791809)","(545, 281, -0.03774719685316086)","(557, 237, -0.053828638046979904)","(562, 208, -0.06112855672836304)","(566, 179, -0.06720860302448273)",3.9505631923675537
"(487, 417, 3.414808986690332e-07)","(433, 391, -0.029051324352622032)","(392, 334, -0.03763424977660179)","(373, 287, -0.044805094599723816)","(347, 259, -0.05184558406472206)","(446, 258, -0.008805903606116772)","(433, 201, -0.02616163156926632)","(426, 165, -0.04489729925990105)","(421, 134, -0.06095468997955322)","(481, 255, -0.014796360395848751)","(481, 189, -0.02768879011273384)","(480, 149, -0.04352319613099098)","(478, 117, -0.056986160576343536)","(513, 265, -0.026919610798358917)","(516, 203, -0.04448574408888817)","(514, 166, -0.05789531394839287)","(511, 133, -0.06916940212249756)","(545, 286, -0.042827218770980835)","(557, 241, -0.06152758374810219)","(562, 211, -0.07039627432823181)","(566, 182, -0.07755669951438904)",4.026334047317505
