Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(1012, 600, -1.0418259677180686e-07)","(959, 630, 0.021860396489501)","(940, 671, 0.033130016177892685)","(946, 709, 0.04442324489355087)","(965, 732, 0.05690794810652733)","(939, 738, 0.0029593356885015965)","(917, 792, 0.019003791734576225)","(924, 797, 0.03933362290263176)","(934, 784, 0.05472271144390106)","(977, 751, 0.002642884850502014)","(961, 812, 0.017896510660648346)","(965, 800, 0.04021522402763367)","(973, 785, 0.05691555142402649)","(1013, 753, 0.006274822633713484)","(1003, 814, 0.020907597616314888)","(999, 806, 0.03901751711964607)","(1002, 791, 0.0510372668504715)","(1050, 750, 0.012677560560405254)","(1044, 784, 0.02657260373234749)","(1038, 776, 0.03914911672472954)","(1036, 759, 0.048615921288728714)",22.42886710166931
"(1007, 597, -1.0516584580955168e-07)","(966, 632, 0.0295269675552845)","(951, 675, 0.04383913800120354)","(954, 711, 0.05544700846076012)","(965, 735, 0.06778830289840698)","(936, 736, 0.017288407310843468)","(917, 789, 0.03237439692020416)","(925, 798, 0.04940411448478699)","(936, 786, 0.06255500018596649)","(971, 746, 0.011459601111710072)","(964, 809, 0.026725735515356064)","(973, 803, 0.046728815883398056)","(979, 790, 0.061855562031269073)","(1009, 748, 0.009186292998492718)","(1004, 813, 0.023512722924351692)","(1005, 808, 0.041893504559993744)","(1008, 793, 0.054417822510004044)","(1047, 739, 0.009901476092636585)","(1042, 783, 0.024134362116456032)","(1039, 775, 0.0385444238781929)","(1038, 757, 0.04963553696870804)",22.65754508972168
"(1006, 604, -1.0394353466836037e-07)","(960, 632, 0.02857244946062565)","(943, 673, 0.0434432327747345)","(943, 711, 0.05531477928161621)","(951, 737, 0.06792241334915161)","(933, 738, 0.02179393358528614)","(916, 793, 0.03732992336153984)","(925, 800, 0.053335729986429214)","(934, 787, 0.06516531109809875)","(970, 751, 0.01571611501276493)","(963, 815, 0.03077208623290062)","(973, 802, 0.04826275259256363)","(978, 785, 0.06113971769809723)","(1009, 754, 0.012793581932783127)","(1003, 820, 0.027935363352298737)","(1006, 804, 0.044729042798280716)","(1009, 785, 0.055300429463386536)","(1050, 744, 0.012460068799555302)","(1046, 788, 0.02712368778884411)","(1044, 775, 0.040312860161066055)","(1043, 756, 0.04984106495976448)",22.871351957321167
"(1026, 637, -1.981220947300244e-07)","(981, 679, 0.02426125667989254)","(961, 721, 0.035596463829278946)","(964, 757, 0.045575179159641266)","(977, 781, 0.05587403103709221)","(955, 775, 0.005480749066919088)","(945, 828, 0.019875764846801758)","(956, 823, 0.03756143897771835)","(964, 810, 0.04984932765364647)","(988, 783, 0.00018170730618294328)","(985, 849, 0.012226504273712635)","(993, 829, 0.030455732718110085)","(998, 808, 0.043336063623428345)","(1020, 783, -0.0012693734606727958)","(1017, 848, 0.012286588549613953)","(1015, 826, 0.028520110994577408)","(1015, 804, 0.0377015694975853)","(1052, 773, -0.00019761714793276042)","(1045, 816, 0.011558356694877148)","(1043, 801, 0.022138686850667)","(1039, 782, 0.02914784476161003)",34.503756046295166
"(1018, 619, -1.257129298437576e-07)","(978, 664, 0.02237447164952755)","(966, 710, 0.0347057543694973)","(971, 748, 0.04706644266843796)","(985, 772, 0.06072156876325607)","(948, 768, 0.0024510095827281475)","(932, 818, 0.01966463215649128)","(943, 813, 0.04073147848248482)","(952, 800, 0.056071434170007706)","(983, 776, 0.0014737565070390701)","(975, 841, 0.016699528321623802)","(986, 828, 0.03859080746769905)","(993, 812, 0.054725270718336105)","(1018, 775, 0.004637920763343573)","(1014, 841, 0.01943008415400982)","(1017, 832, 0.03677012771368027)","(1021, 815, 0.04792627692222595)","(1055, 767, 0.010575782507658005)","(1049, 808, 0.023775534704327583)","(1049, 804, 0.03527989238500595)","(1046, 791, 0.043843742460012436)",34.977866888046265
"(1014, 621, -1.3067325710380828e-07)","(967, 660, 0.026235803961753845)","(953, 703, 0.03863988444209099)","(960, 742, 0.049475446343421936)","(974, 765, 0.06108904629945755)","(946, 760, 0.007569783367216587)","(929, 818, 0.02326161414384842)","(940, 815, 0.04268501698970795)","(949, 801, 0.056844551116228104)","(982, 771, 0.0028940225020051003)","(975, 841, 0.016744593158364296)","(984, 826, 0.037537600845098495)","(989, 808, 0.05292600020766258)","(1019, 772, 0.0022687867749482393)","(1017, 841, 0.01657719351351261)","(1017, 828, 0.034714944660663605)","(1020, 808, 0.04620269313454628)","(1057, 763, 0.004498943220824003)","(1053, 809, 0.017329979687929153)","(1051, 801, 0.02977079153060913)","(1048, 783, 0.038977935910224915)",35.4290668964386
"(1012, 623, -1.3615273530831473e-07)","(985, 662, 0.02995940111577511)","(978, 707, 0.043512601405382156)","(983, 746, 0.05443204194307327)","(988, 772, 0.06624197214841843)","(962, 767, 0.0131901316344738)","(946, 819, 0.03014918975532055)","(953, 819, 0.049745507538318634)","(959, 804, 0.06381235271692276)","(984, 776, 0.00644005136564374)","(981, 840, 0.021752333268523216)","(990, 829, 0.04290494695305824)","(994, 812, 0.05827358737587929)","(1009, 778, 0.0038163973949849606)","(1006, 841, 0.02016390673816204)","(1009, 827, 0.04033414646983147)","(1013, 807, 0.05295051261782646)","(1034, 769, 0.00396829005330801)","(1026, 807, 0.019240347668528557)","(1025, 801, 0.03344191610813141)","(1026, 787, 0.04381037503480911)",35.679616928100586
"(1013, 626, -1.1114757114683016e-07)","(965, 663, 0.030076414346694946)","(950, 709, 0.04392090439796448)","(954, 748, 0.055003587156534195)","(964, 775, 0.06678124517202377)","(941, 771, 0.0144989974796772)","(928, 821, 0.03192858770489693)","(938, 826, 0.05163796991109848)","(949, 812, 0.06600891053676605)","(978, 781, 0.007782608270645142)","(976, 841, 0.024486424401402473)","(986, 829, 0.04624409228563309)","(992, 813, 0.062047652900218964)","(1016, 782, 0.005126755218952894)","(1014, 839, 0.022890150547027588)","(1016, 826, 0.04370833933353424)","(1020, 808, 0.0565372072160244)","(1055, 772, 0.0051660616882145405)","(1051, 809, 0.022035667672753334)","(1049, 797, 0.03755934536457062)","(1048, 779, 0.04874708876013756)",35.909642934799194
"(1010, 627, -9.713490101148636e-08)","(969, 665, 0.030531108379364014)","(958, 710, 0.0444965623319149)","(962, 746, 0.055362261831760406)","(972, 771, 0.06692762672901154)","(945, 767, 0.01729659177362919)","(926, 818, 0.03327883780002594)","(936, 830, 0.051794081926345825)","(948, 821, 0.06582874059677124)","(978, 778, 0.010156632401049137)","(974, 840, 0.025572752580046654)","(986, 833, 0.046992331743240356)","(993, 819, 0.06330116093158722)","(1014, 780, 0.006683626212179661)","(1014, 839, 0.02310924045741558)","(1016, 829, 0.04364849627017975)","(1020, 813, 0.057036399841308594)","(1051, 771, 0.005904780235141516)","(1048, 806, 0.02174183540046215)","(1046, 795, 0.03694327175617218)","(1045, 778, 0.04839608073234558)",36.14599609375
"(1015, 629, -8.397473294508018e-08)","(967, 661, 0.02666902169585228)","(951, 706, 0.04008960723876953)","(954, 742, 0.0514468215405941)","(962, 767, 0.0636671781539917)","(945, 768, 0.01387868169695139)","(925, 817, 0.029758933931589127)","(933, 827, 0.04808507114648819)","(944, 818, 0.06183547154068947)","(982, 779, 0.008866185322403908)","(976, 841, 0.023934325203299522)","(985, 833, 0.04433828592300415)","(991, 818, 0.05972395837306976)","(1019, 780, 0.007333059795200825)","(1016, 839, 0.02311331033706665)","(1016, 827, 0.042205195873975754)","(1019, 809, 0.054631393402814865)","(1056, 771, 0.00825531966984272)","(1052, 807, 0.02321716584265232)","(1048, 797, 0.037053704261779785)","(1046, 779, 0.04748303070664406)",36.373985052108765
