Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(385, 728, 3.1306689152188483e-07)","(450, 738, -0.033271972090005875)","(514, 706, -0.04971664771437645)","(561, 656, -0.062443409115076065)","(595, 614, -0.07438540458679199)","(539, 525, -0.03387049213051796)","(595, 441, -0.054614048451185226)","(621, 383, -0.07138997316360474)","(638, 331, -0.08323418349027634)","(496, 484, -0.030230645090341568)","(548, 383, -0.04827617108821869)","(573, 314, -0.06301449984312057)","(590, 256, -0.07335347682237625)","(445, 472, -0.029943915084004402)","(472, 370, -0.046976082026958466)","(479, 308, -0.0592171773314476)","(486, 258, -0.06715400516986847)","(388, 487, -0.03267420455813408)","(385, 409, -0.04758688062429428)","(384, 360, -0.05515044182538986)","(390, 317, -0.05962890386581421)",10.841807126998901
"(355, 703, 4.938169695378747e-07)","(417, 711, -0.058687347918748856)","(479, 678, -0.0857299193739891)","(523, 628, -0.10443969815969467)","(559, 563, -0.12287769466638565)","(514, 510, -0.05640821158885956)","(570, 426, -0.08072034269571304)","(594, 363, -0.10226321220397949)","(612, 308, -0.11812128126621246)","(475, 474, -0.04071357846260071)","(527, 370, -0.06096117943525314)","(554, 299, -0.08344651013612747)","(577, 237, -0.10156162828207016)","(429, 460, -0.030041418969631195)","(463, 362, -0.048807721585035324)","(477, 297, -0.07024107128381729)","(492, 246, -0.08694428205490112)","(375, 463, -0.024277038872241974)","(383, 389, -0.0411757193505764)","(393, 339, -0.056254126131534576)","(408, 298, -0.06884187459945679)",11.028517961502075
"(362, 709, 5.26640917541954e-07)","(435, 709, -0.06469586491584778)","(499, 669, -0.09284549951553345)","(540, 611, -0.11187737435102463)","(578, 542, -0.13035479187965393)","(520, 510, -0.050435326993465424)","(564, 422, -0.06903020292520523)","(582, 356, -0.08709923177957535)","(590, 303, -0.10060714930295944)","(474, 478, -0.030170613899827003)","(515, 371, -0.043285343796014786)","(536, 300, -0.06173357740044594)","(552, 238, -0.07732033729553223)","(427, 465, -0.01627657562494278)","(453, 368, -0.02947491779923439)","(465, 305, -0.04966375231742859)","(474, 256, -0.06624806672334671)","(376, 466, -0.00821986235678196)","(384, 393, -0.021624797955155373)","(392, 345, -0.03650891035795212)","(402, 307, -0.04965164512395859)",11.227349996566772
"(365, 703, 5.635482125398994e-07)","(440, 697, -0.0638248547911644)","(506, 655, -0.0904860869050026)","(547, 598, -0.10833831131458282)","(581, 526, -0.1257878988981247)","(513, 502, -0.04626986384391785)","(555, 413, -0.06283338367938995)","(574, 346, -0.0806351974606514)","(584, 292, -0.09428709000349045)","(466, 475, -0.02564188838005066)","(504, 368, -0.036353129893541336)","(522, 295, -0.05514364317059517)","(535, 235, -0.0716511681675911)","(418, 464, -0.011450330726802349)","(442, 368, -0.021992061287164688)","(453, 303, -0.042777352035045624)","(460, 254, -0.060506198555231094)","(368, 465, -0.0032151350751519203)","(374, 392, -0.014704662375152111)","(380, 345, -0.02966080605983734)","(389, 309, -0.04336342215538025)",11.428735971450806
"(395, 730, 3.704228390688513e-07)","(483, 722, -0.03906058520078659)","(557, 672, -0.05270872265100479)","(595, 612, -0.060963764786720276)","(626, 556, -0.06880989670753479)","(544, 519, -0.03005913272500038)","(586, 430, -0.04629692807793617)","(606, 371, -0.061649810522794724)","(621, 318, -0.07270793616771698)","(496, 490, -0.020265918225049973)","(532, 384, -0.03304854407906532)","(552, 316, -0.04813378304243088)","(566, 260, -0.05958797037601471)","(443, 482, -0.014622876420617104)","(463, 384, -0.027498820796608925)","(474, 322, -0.04270534962415695)","(483, 271, -0.05370063707232475)","(386, 492, -0.01249766256660223)","(388, 418, -0.025246378034353256)","(395, 370, -0.03546622395515442)","(407, 328, -0.042938150465488434)",11.628632068634033
"(395, 742, 4.0493037545275e-07)","(504, 726, -0.02523483894765377)","(598, 671, -0.034129414707422256)","(654, 612, -0.040590550750494)","(694, 562, -0.04660693556070328)","(543, 511, -0.017492612823843956)","(589, 423, -0.030253572389483452)","(611, 367, -0.04199085384607315)","(627, 318, -0.050434425473213196)","(479, 480, -0.014898542314767838)","(510, 372, -0.025313233956694603)","(527, 304, -0.03679690882563591)","(535, 250, -0.045233625918626785)","(414, 476, -0.015438588336110115)","(423, 372, -0.027080979198217392)","(428, 307, -0.03823808208107948)","(432, 256, -0.045771509408950806)","(348, 492, -0.018276123329997063)","(333, 409, -0.030425379052758217)","(328, 356, -0.03752463310956955)","(330, 308, -0.0415249727666378)",11.829693794250488
"(357, 730, 2.477600560268911e-07)","(346, 622, 0.01405051164329052)","(357, 521, 0.017464570701122284)","(386, 455, 0.016455775126814842)","(417, 409, 0.015945592895150185)","(345, 462, 0.007532673422247171)","(381, 340, -0.0020554212387651205)","(413, 267, -0.007997139357030392)","(440, 212, -0.011519613675773144)","(373, 472, -0.007097369525581598)","(413, 341, -0.017581837251782417)","(448, 262, -0.02480161190032959)","(477, 200, -0.029116405174136162)","(411, 498, -0.021404655650258064)","(455, 386, -0.03088921308517456)","(492, 314, -0.03755060210824013)","(521, 260, -0.041566152125597)","(462, 542, -0.03462180867791176)","(512, 467, -0.04018346220254898)","(544, 418, -0.04208342358469963)","(569, 376, -0.043208274990320206)",12.028463125228882
"(397, 727, 2.596564172563376e-07)","(356, 620, 0.01734449341893196)","(355, 528, 0.020591124892234802)","(378, 460, 0.020788829773664474)","(411, 415, 0.020597482100129128)","(371, 470, -0.010278655216097832)","(397, 340, -0.02545432560145855)","(423, 265, -0.03208024799823761)","(447, 210, -0.03489593788981438)","(413, 484, -0.025256136432290077)","(454, 340, -0.041850488632917404)","(486, 257, -0.04932801052927971)","(514, 193, -0.052949193865060806)","(460, 511, -0.03786308318376541)","(508, 387, -0.05314464867115021)","(542, 311, -0.059546805918216705)","(573, 257, -0.06217292696237564)","(515, 552, -0.04802046716213226)","(572, 466, -0.06024521589279175)","(609, 415, -0.06368327140808105)","(641, 373, -0.0643153041601181)",12.228868007659912
"(415, 717, 3.9460414313907677e-07)","(370, 626, 0.0004165178397670388)","(364, 528, -0.003596574766561389)","(381, 454, -0.008816558867692947)","(408, 406, -0.013976830057799816)","(388, 458, -0.014791511930525303)","(416, 335, -0.029758110642433167)","(442, 263, -0.038767047226428986)","(465, 210, -0.043775949627161026)","(437, 468, -0.023795083165168762)","(478, 333, -0.036449261009693146)","(510, 251, -0.04463908076286316)","(538, 191, -0.049659986048936844)","(489, 495, -0.03270776942372322)","(536, 377, -0.04422886297106743)","(570, 303, -0.05189204216003418)","(599, 248, -0.0567953884601593)","(539, 536, -0.04131169617176056)","(597, 459, -0.05168939754366875)","(636, 408, -0.05567892640829086)","(669, 365, -0.05733335763216019)",12.430985927581787
"(437, 707, 3.0749501434002013e-07)","(388, 613, 0.006615008227527142)","(387, 520, 0.006695478688925505)","(407, 453, 0.005040651187300682)","(436, 409, 0.003092153463512659)","(412, 449, -0.010158027522265911)","(438, 330, -0.023299967870116234)","(462, 261, -0.030332250520586967)","(486, 210, -0.034006159752607346)","(463, 460, -0.02040739543735981)","(503, 330, -0.033434219658374786)","(534, 252, -0.04141796752810478)","(561, 195, -0.04612009599804878)","(514, 489, -0.029804492369294167)","(564, 376, -0.04215050861239433)","(598, 306, -0.04935002699494362)","(626, 256, -0.0535268560051918)","(564, 531, -0.03800409287214279)","(622, 455, -0.04840792343020439)","(660, 408, -0.05185021087527275)","(691, 370, -0.0530736967921257)",12.628023862838745
