Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(1054, 825, 2.485900552073872e-07)","(972, 807, -0.04061798378825188)","(898, 753, -0.06958336383104324)","(850, 700, -0.09461097419261932)","(822, 637, -0.11982506513595581)","(985, 637, -0.06340114772319794)","(975, 542, -0.09601420164108276)","(966, 491, -0.1179632768034935)","(961, 444, -0.13305549323558807)","(1060, 635, -0.06542516499757767)","(1063, 531, -0.09331665933132172)","(1061, 472, -0.11215468496084213)","(1064, 422, -0.1266370713710785)","(1128, 660, -0.07091408967971802)","(1142, 569, -0.10369423776865005)","(1145, 520, -0.11857737600803375)","(1145, 477, -0.12702055275440216)","(1192, 702, -0.0788058489561081)","(1233, 627, -0.10821019858121872)","(1257, 581, -0.11789782345294952)","(1273, 539, -0.1228283941745758)",1.4193120002746582
"(1063, 799, 6.71451743983198e-07)","(967, 730, -0.0332881361246109)","(896, 651, -0.05103527754545212)","(859, 576, -0.06615889817476273)","(835, 505, -0.0803639218211174)","(989, 527, -0.021224621683359146)","(979, 428, -0.04552876949310303)","(974, 363, -0.06856364756822586)","(976, 301, -0.08628535270690918)","(1063, 517, -0.02451390214264393)","(1066, 409, -0.04435459151864052)","(1070, 333, -0.06662613153457642)","(1077, 262, -0.08399316668510437)","(1128, 534, -0.033194657415151596)","(1144, 437, -0.058657094836235046)","(1154, 364, -0.07999330759048462)","(1159, 297, -0.09502536058425903)","(1189, 575, -0.04437381029129028)","(1231, 506, -0.06864901632070541)","(1253, 456, -0.08037114143371582)","(1270, 405, -0.08794257789850235)",1.5577020645141602
"(1054, 736, 5.36011214080645e-07)","(952, 686, -0.031102877110242844)","(881, 606, -0.045482177287340164)","(850, 529, -0.057365186512470245)","(828, 462, -0.06839940696954727)","(983, 479, -0.018497006967663765)","(971, 383, -0.03724023699760437)","(967, 325, -0.05525469779968262)","(969, 272, -0.06990467756986618)","(1053, 475, -0.02127431333065033)","(1058, 365, -0.036735281348228455)","(1063, 297, -0.05429070070385933)","(1071, 238, -0.06873475760221481)","(1116, 494, -0.02930932492017746)","(1133, 395, -0.05166785046458244)","(1142, 328, -0.06992103159427643)","(1150, 266, -0.0835082158446312)","(1175, 534, -0.03996957466006279)","(1217, 468, -0.06350643187761307)","(1244, 423, -0.07575029879808426)","(1267, 376, -0.08411876112222672)",1.6809167861938477
"(1035, 718, 4.372201658497943e-07)","(939, 674, -0.027693554759025574)","(868, 588, -0.038187023252248764)","(836, 511, -0.046691227704286575)","(814, 451, -0.05486328527331352)","(962, 467, -0.016494879499077797)","(948, 372, -0.033635158091783524)","(944, 316, -0.04933587461709976)","(944, 265, -0.062417007982730865)","(1032, 463, -0.0209660641849041)","(1037, 355, -0.034816674888134)","(1041, 292, -0.05127156153321266)","(1047, 234, -0.06495107710361481)","(1094, 482, -0.030182061716914177)","(1111, 386, -0.05110859125852585)","(1119, 322, -0.06845290958881378)","(1125, 261, -0.08160189539194107)","(1151, 520, -0.04181782156229019)","(1191, 455, -0.06420863419771194)","(1220, 413, -0.07537676393985748)","(1246, 370, -0.0831747055053711)",1.812821865081787
"(1022, 701, 4.2637361730157863e-07)","(929, 659, -0.02740257978439331)","(861, 575, -0.03788522258400917)","(831, 500, -0.04630354791879654)","(810, 440, -0.05430961027741432)","(952, 458, -0.01766541786491871)","(938, 364, -0.034830376505851746)","(932, 309, -0.05031229555606842)","(931, 258, -0.06318160891532898)","(1020, 453, -0.02176562510430813)","(1024, 346, -0.035075895488262177)","(1027, 282, -0.0506332628428936)","(1032, 224, -0.0636851117014885)","(1081, 471, -0.030385242775082588)","(1095, 374, -0.050378624349832535)","(1102, 312, -0.06627130508422852)","(1108, 253, -0.07853423058986664)","(1137, 508, -0.041439563035964966)","(1175, 445, -0.0628037080168724)","(1204, 405, -0.07283398509025574)","(1229, 364, -0.07986725121736526)",1.9448230266571045
"(1008, 686, 4.025982036637288e-07)","(914, 645, -0.025148946791887283)","(847, 563, -0.03371254354715347)","(817, 490, -0.04065122455358505)","(795, 433, -0.047344356775283813)","(937, 447, -0.012458168901503086)","(921, 355, -0.027001911774277687)","(915, 302, -0.04106345772743225)","(914, 253, -0.052938222885131836)","(1004, 442, -0.016577526926994324)","(1008, 338, -0.027674559503793716)","(1011, 276, -0.04251186177134514)","(1017, 221, -0.05511126294732094)","(1064, 459, -0.02517515979707241)","(1079, 365, -0.043269820511341095)","(1085, 305, -0.05966461822390556)","(1091, 247, -0.07242149859666824)","(1119, 494, -0.03605501353740692)","(1158, 434, -0.056084975600242615)","(1187, 395, -0.0664367526769638)","(1213, 356, -0.07376424223184586)",2.080142021179199
"(990, 674, 4.1666160655040585e-07)","(900, 633, -0.024421311914920807)","(832, 553, -0.03282475844025612)","(801, 481, -0.03978246450424194)","(779, 424, -0.04640787094831467)","(920, 435, -0.010237595997750759)","(904, 347, -0.024095619097352028)","(898, 295, -0.03808403015136719)","(896, 247, -0.050082121044397354)","(985, 432, -0.01475764624774456)","(990, 330, -0.02534850686788559)","(994, 270, -0.04005540534853935)","(1000, 215, -0.05258513242006302)","(1043, 449, -0.023846127092838287)","(1057, 357, -0.041573282331228256)","(1064, 298, -0.05754980817437172)","(1069, 241, -0.07005593180656433)","(1096, 485, -0.03521296754479408)","(1136, 425, -0.05467759072780609)","(1165, 387, -0.06465335935354233)","(1190, 348, -0.07189810276031494)",2.224982976913452
"(972, 639, 4.205224684028508e-07)","(884, 597, -0.02442055381834507)","(819, 525, -0.03392587974667549)","(791, 454, -0.041968949139118195)","(773, 396, -0.04956653341650963)","(904, 417, -0.011987115256488323)","(889, 332, -0.02664918638765812)","(883, 282, -0.040534209460020065)","(881, 236, -0.052153412252664566)","(965, 412, -0.01550711877644062)","(972, 313, -0.027010450139641762)","(976, 255, -0.041044872254133224)","(982, 204, -0.052897002547979355)","(1020, 427, -0.023583777248859406)","(1036, 338, -0.04210600629448891)","(1043, 279, -0.05853144824504852)","(1048, 224, -0.07109394669532776)","(1070, 460, -0.03381234407424927)","(1114, 406, -0.05461440607905388)","(1144, 369, -0.06657934933900833)","(1171, 330, -0.07499024271965027)",2.3492069244384766
"(957, 623, 3.737496854228084e-07)","(872, 585, -0.02281193993985653)","(810, 511, -0.029841521754860878)","(782, 443, -0.03559686243534088)","(765, 391, -0.04102031886577606)","(893, 407, -0.008809402585029602)","(880, 325, -0.02217899262905121)","(874, 276, -0.035198792815208435)","(872, 232, -0.04629307612776756)","(951, 403, -0.012505966238677502)","(957, 310, -0.02362419292330742)","(960, 253, -0.037712980061769485)","(965, 202, -0.049319688230752945)","(1002, 417, -0.020621581003069878)","(1019, 333, -0.03867976367473602)","(1027, 276, -0.05500262230634689)","(1032, 221, -0.0672568827867508)","(1050, 449, -0.030743496492505074)","(1092, 397, -0.05028659477829933)","(1121, 361, -0.061383746564388275)","(1146, 324, -0.06929874420166016)",2.4931020736694336
"(953, 621, 3.4710041063590324e-07)","(871, 586, -0.023490486666560173)","(810, 514, -0.031815946102142334)","(783, 447, -0.03836664929986)","(764, 393, -0.04421403631567955)","(892, 410, -0.012737109325826168)","(879, 329, -0.026509439572691917)","(873, 281, -0.039271775633096695)","(870, 237, -0.050161559134721756)","(950, 404, -0.015984345227479935)","(956, 313, -0.02765619568526745)","(959, 257, -0.04123915731906891)","(961, 206, -0.0524156354367733)","(1002, 418, -0.02340141497552395)","(1018, 335, -0.041890859603881836)","(1025, 279, -0.0581425204873085)","(1029, 226, -0.07024675607681274)","(1047, 449, -0.03276892006397247)","(1090, 399, -0.05324650928378105)","(1119, 363, -0.06520979106426239)","(1143, 326, -0.07357189804315567)",2.628243923187256
